ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
6400,6400 I - 395 EB Off & NE 2 Av,26,Miami,SCOOT,SCOOT,-8926784.220152551,2972569.0432364237
6401,6401 I - 95 NB Off & NE 2 Av & NE 11 Ter,26,Miami,SCOOT,SCOOT,-8926782.337739961,2972537.169070272
6402,6402 Howard Dr & SW 88 Pl,170,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8943189.432510087,2955389.152861254
6403,6403 NW 38 Ct & NW 25 St,11,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8934395.062493615,2974179.2374690347
6404,6404 NW 38 Ct & NW 21 St,139,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8934385.204039508,2973699.5812285007
6405,6405 LeJeune Rd & NW 28 St,11,Unincorporated Miami-Dade,SCOOT,SCOOT,-8935001.751492048,2974451.232883251
6411,6411 NW 29 Ct & NW 199 St,60,Miami Gardens,SCOOT,ATSPM,-8933325.017246703,2993553.4079023967
6412,6412 W 18 Av & W 41 St,236,Hialeah,SCOOT,SCOOT,-8941035.58737998,2981617.3970326968
6413,6413 Marlin Rd & SW 106 Av,174,Unincorporated Miami-Dade,SCOOT,ATSPM,-8945882.820948169,2948504.0272384193
6416,6416 Segovia St & Valencia Av,64,Coral Gables,Fully Actuated,SUNRISE,-8935246.575334953,2967812.4373655412
6417,6417 Old Cutler Rd & SW 224 St,252,Cutler Bay,Traffic Responsive,SUNRISE,-8945262.440765562,2944744.1965366034
6418,6418 SW 70 Av & SW 16 St,150,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8939887.306794941,2968852.783456881
6419,6419 Flagler St W & W 105 Pl,72,Unincorporated Miami-Dade,SCOOT,SUNRISE,-8946357.230108887,2970448.6102387267
6422,6422 Red Rd & SR- 836 EB Off,79,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8937678.24274462,2972330.6327792825
6423,6423 SW 157 Av & SW 96 St,250,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8955566.608092597,2959129.219307644
6424,6424 SW 162 Av & SW 96 St,250,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8956478.42938127,2959104.806268264
6426,6426 SW 142 Av & SW 184 St,174,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8952482.032945113,2949157.8638066757
6427,6427 SW 8 St / SW 15 Av / SW 16 Av,44,Miami,SCOOT,SCOOT,-8930007.844475985,2970092.3146916465
6428,6428 Red Rd & NW 195 Dr,271,Unincorporated Miami-Dade,SCOOT,ATSPM,-8938335.153531326,2993094.0245360895
6435,6435 Old Cutler Rd & SW 92 Av,252,Cutler Bay,Traffic Responsive,SUNRISE,-8943410.328228448,2946727.27731952
6436,6436 W 8 Av & W 77 St,242,Hialeah,Fully Actuated,SUNRISE,-8938944.764666393,2985771.839791807
6439,6439 SW 123 Psge & SW 120 St,202,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8949573.674325164,2956558.2415718534
6443,6443 NW 7 St @ NW 4800 Blk,293,Miami,SCOOT,SUNRISE,-8936201.360381097,2971679.0491451635
6444,6444 US - 1 & NE 9 St,303,Miami,SCOOT,SCOOT,-8926665.729460161,2972222.455269584
6445,6445 Miami Gardens Dr / NW 23 Av / NW 24 Av,86,Miami Gardens,Fully Actuated,SUNRISE,-8932329.983525466,2991791.699714492
6446,6446 SW 27 Av / SW 25 Ter / SW 26 St,34,Miami,Traffic Responsive,ATSPM,-8932051.760495737,2967386.688508504
6447,6447 SW 137 Av & SW 312 St,232,Homestead,SCOOT,SUNRISE,-8951421.002350565,2934539.0330159445
6448,6448 NW 7 Av / NW 63 St / NW 64 St,31,Miami,Traffic Responsive,SCOOT,-8928775.58446709,2978474.0934434864
6449,6449 Miller Dr & SW 140 Av,201,Unincorporated Miami-Dade,Fully Actuated,ATSPM,-8952212.025293805,2963735.275845188
6452,6452 Indian Creek Dr / 63 St / 64 St,269,Miami Beach,SCOOT,SCOOT,-8919097.100583203,2979847.4790941025
6456,6456 W Dixie Hwy & NE 130 St,108,North Miami,SCOOT,ATSPM,-8925894.33659593,2986088.5589725
6457,6457 NW 112 Av & NW 41 St,266,Doral,Traffic Responsive,SUNRISE,-8947591.788865268,2975774.4062717254
6458,6458 SW 112 Av & SW 224 St,177,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8946986.062780429,2944569.188406111
6459,6459 W Dixie Hwy & NE 123 St,107,North Miami,Fully Actuated,SUNRISE,-8926629.447098527,2985254.8022885458
6464,6464 NW 17 Av & NW 50 St,126,Miami,Fully Actuated,SUNRISE,-8930540.21769556,2976903.2809658474
6465,6465 SW 147 Av & SW 67 Ln,201,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8953498.050390363,2962378.702471041
6466,6466 Atlantic Way & S Cruise Blvd,2,Miami,Fully Actuated,SUNRISE,-8924708.573625144,2971302.2412673403
6467,6467 SW 147 Av & SW 312 St,232,Homestead,SCOOT,SUNRISE,-8953222.185107447,2934524.4366766363
6469,6469 SR- 821 SB & SW 216 St,177,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8946016.720484475,2945482.893188349
6470,6470 West Av & 11 St,8,Miami Beach,SCOOT,SCOOT,-8921387.090563744,2972069.8042319594
6471,6471 Port Blvd & Eastern Port Blvd,2,Miami,Fully Actuated,SUNRISE,-8923633.337550377,2970680.3606980895
6472,6472 N Miami Av / N 112 St / N 114 St,107,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8927624.656704558,2984132.5296493866
6473,6473 NW 87 Av & NW 74 St,83,Medley,Traffic Responsive,SUNRISE,-8943208.603952792,2979368.840637672
6474,6474 Krome Av & SW 336 St,290,Florida City,SCOOT,SCOOT,-8958680.848771181,2931758.45476755
6475,6475 US - 1 & SW 336 St,290,Florida City,SCOOT,SCOOT,-8958455.240898777,2931760.567925477
6476,6476 Miami Gardens Dr & NW 75 Pl,282,Unincorporated Miami-Dade,SCOOT,SCOOT,-8941432.559363319,2991934.706532984
6479,6479 NW 137 Av & NW 6 St,273,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8952003.362474285,2970945.0955244675
6480,6480 SR- 836 & NW 137 Av,273,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951994.101805847,2971415.8871157505
6486,6486 Sunset Dr & SW 162 Av,197,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8956158.300129231,2961798.508515978
6487,6487 Galloway Rd & SW 212 St,252,Cutler Bay,Fully Actuated,SUNRISE,-8942469.186499095,2945969.94331346
6492,6492 SW 137 Av & SW 156 St,171,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951700.119275806,2952412.599271289
6493,6493 SW 112 Av & SW 41 Ter,51,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8947371.057899753,2965653.026168699
6494,6494 Hammocks Blvd & SW 112 St,202,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8954555.917284982,2957389.630040585
6496,6496 Douglas Rd / NW 9 St / NW 10 St,139,Miami,Fully Actuated,SUNRISE,-8934032.518289192,2972040.48648389
6497,6497 SW 72 Av & SW 64 St,159,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8940073.180288302,2963290.672526823
6499,6499 Coral Way & SW 114 Av,210,Unincorporated Miami-Dade,SCOOT,ATSPM,-8947867.683091251,2967716.597655587
6500,6500 W 18 Av & W 37 St,236,Hialeah,SCOOT,SCOOT,-8941023.86989038,2981168.0700290706
6501,6501 NW 107 Av & NW 106 St,279,Medley,Fully Actuated,SUNRISE,-8946884.39691588,2982922.915747097
6502,6502 NW 127 Av & NW 17 St,273,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8950232.99406565,2973059.3246599142
6503,6503 Red Rd & W 41 St,39,Hialeah,Fully Actuated,SUNRISE,-8937897.00335515,2981657.037464755
6504,6504 NE 28 Ct & NE 187 St,38,Aventura,Fully Actuated,SUNRISE,-8921548.641861562,2992707.2184128067
6505,6505 NW 97 Av @ NW 900 Blk,291,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8944921.45024095,2971637.159834693
6506,6506 SW 62 Av & SW 73 St,1,South Miami,Traffic Responsive,SCOOT,-8938217.466565661,2962346.919601399
6507,6507 Quail Roost Dr & SW 137 Av,174,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951560.88308311,2947248.0625401055
6508,6508 N Miami Av & N 34 St,129,Miami,SCOOT,SCOOT,-8927295.068635387,2975345.386834902
6512,6512 SW 162 Av & SW 344 St,232,Homestead,SCOOT,SUNRISE,-8955645.225256579,2931271.707828832
6513,6513 SR- 821 NB & SW 216 St,177,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8945911.09832522,2945483.462073395
6543,6543 S Miami Av SB & S 3 St,25,Miami,SCOOT,SCOOT,-8927105.155357704,2970815.955716587
6545,6545 Krome Av & Okeechobee Rd SB,147,Unincorporated Miami-Dade,SCOOT,ATSPM,-8953543.922926128,2992955.6786384126
6561,6561 SW 172 Av & SW 328 St,232,Homestead,SCOOT,SUNRISE,-8957769.735474473,2932653.383113922
6562,6562 SW 127 Av & SW 108 St,202,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8950098.623647898,2957973.366525101
6566,6566 Perimeter Rd @ NW 1600 Blk,204,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8935759.447606131,2972952.5375890755
6569,6569 SW 162 Av & SW 80 St,267,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8956127.672797728,2960917.0110803433
6570,6570 SW 102 Av & SW 64 St,154,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8945469.42266077,2963029.8859055405
6571,6571 NE 2 Av & NE 8 St,26,Miami,SCOOT,SCOOT,-8926769.705204148,2972099.5225859336
6573,6573 Harding Av & 69 St,21,Miami Beach,SCOOT,SCOOT,-8919069.229522293,2981041.6245732876
6574,6574 NE 5 St / NE 1 Av / NE 2 Av,25,Miami,SCOOT,SCOOT,-8926881.865157096,2971741.0692797913
6575,6575 Killian Pkwy & SR-874 SWB,165,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8946262.786652898,2958518.4385952717
6576,6576 NW 107 Av & NW 74 St,83,Doral,Fully Actuated,SUNRISE,-8946787.8740118,2979358.5362712755
6577,6577 Indian Creek Dr & 69 St,68,Miami Beach,SCOOT,SCOOT,-8919338.397824641,2981033.4330810434
6578,6578 Okeechobee Rd & NW 154 St,147,Unincorporated Miami-Dade,SCOOT,SCOOT,-8950278.217608783,2988304.9799162983
6579,6579 Collins Av & 9 St,19,Miami Beach,SCOOT,SCOOT,-8920252.19837386,2971779.464064133
6582,6582 SW 139 Av & SW 160 St,171,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8952157.208236953,2951939.5636744383
6583,6583 SW 152 Av & SW 8 St,0,Unincorporated Miami-Dade,SCOOT,SCOOT,-8954642.064099321,2969498.7028870326
6584,6584 NE 1 Av / NE 3 St / NE 5 St,25,Miami,SCOOT,SCOOT,-8926939.18690249,2971631.7587987655
6585,6585 SW 142 Av & SW 47 St,201,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8952704.753189929,2964947.330416689
6586,6586 Killian Dr & SW 82 Av,16,Unincorporated Miami-Dade,Traffic Responsive,ATSPM,-8941930.461389376,2957811.0089262733
6587,6587 NW 127 Av & NW 7 Ter,273,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8950192.766541263,2971298.651372366
6588,6588 SR- 821 & NW 114 Av & NW 74 St,83,Doral,Fully Actuated,SUNRISE,-8948126.519831657,2979347.776744359
6589,6589 W 30 Av & W 68 St,260,Hialeah,Fully Actuated,SUNRISE,-8943826.015244577,2984739.9298436795
6590,6590 NE 2 Av & NE 21 St,26,Miami,SCOOT,SCOOT,-8926804.781975696,2973976.9164729253
6592,6592 Miami Gardens Dr & NE 28 Ct,38,Aventura,Fully Actuated,SUNRISE,-8921525.77572496,2992510.8715596623
6593,6593 Dade Blvd & Purdy Av,289,Miami Beach,SCOOT,SCOOT,-8921625.457876183,2973312.6191264377
6594,6594 Miller Dr & SW 157 Av,201,Unincorporated Miami-Dade,Fully Actuated,ATSPM,-8955333.697661595,2963629.8106546924
6595,6595 Milam Dairy Rd & SR- 836 EB,94,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8940465.338816859,2971789.952244094
6596,6596 Milam Dairy Rd & NW 11 St,94,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8940782.154087655,2971996.649049634
6597,6597 NW 72 Av & NW 11 St,94,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8940351.113887357,2972006.454975325
6598,6598 Coral Way & SW 152 Av,210,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8954568.682290992,2967252.9665818154
6623,6623 Coral Reef Dr & Galloway Rd,167,Palmetto Bay,SCOOT,SUNRISE,-8942697.019648122,2953216.6182957375
6624,6624 NW 52 Av & NW 199 St,131,Miami Gardens,Fully Actuated,SUNRISE,-8937473.037508488,2993359.4638591856
6625,6625 SW 147 Av & SW 160 St,171,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8953466.453466097,2951885.645438845
6626,6626 SW 142 Av & SW 160 St,171,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8952599.804513592,2951923.4600345953
6631,6631 SW 112 Av & SW 232 St,177,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8946975.671105962,2943658.2792879855
6632,6632 SW 152 Av & SW 18 St,210,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8954595.968924573,2968159.8431741563
6634,6634 US - 1 & SW 252 St,35,Unincorporated Miami-Dade,SCOOT,SCOOT,-8951711.244545717,2941329.623665976
6636,6636 US - 1 & SW 260 St,178,Unincorporated Miami-Dade,SCOOT,SCOOT,-8952513.735622896,2940422.9392528404
6637,6637 Coral Way & SW 132 Av - N Leg,210,Unincorporated Miami-Dade,SCOOT,ATSPM,-8951224.389865926,2967370.900404095
6638,6638 SW 157 Av & SW 112 St,202,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8955677.62813396,2957547.2491096584
6639,6639 SW 157 Av & SW 120 St,202,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8955481.4353238,2956392.2342793155
6640,6640 S Dade Bswy & SW 344 St,290,Florida City,SCOOT,SCOOT,-8958908.352414517,2930849.526400517
6641,6641 E 1 Av & E 17 St,111,Hialeah,Fully Actuated,SUNRISE,-8936716.929923538,2978938.324429254
6642,6642 NW 2 Av & NW 67 St,127,Miami,Fully Actuated,SUNRISE,-8927879.980201837,2978810.242136011
6643,6643 NE 2 Av & NE 67 St,66,Miami,Fully Actuated,SUNRISE,-8926973.158271495,2978840.028587041
6645,6645 SW 152 Av S-Leg & SW 312 St,232,Homestead,SCOOT,SUNRISE,-8954123.32529098,2934510.162193296
6646,6646 SW 134 Av & SW 248 St,35,Unincorporated Miami-Dade,SCOOT,ATSPM,-8951058.049603613,2941787.126437592
6647,6647 NW 75 Pl / NW 183 Ln / Miami Gardens Dr,282,Unincorporated Miami-Dade,Fully Actuated,ATSPM,-8941532.697924457,2991708.657591995
6648,6648 SW 137 Av & SW 143 St,267,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8951722.297457956,2953903.903816769
6649,6649 Ludlam Rd & SW 44 St,159,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8939258.622178322,2965636.093186125
6650,6650 NW 114 Av & NW 50 St,263,Doral,Fully Actuated,SUNRISE,-8948058.78860068,2976666.2122263415
6654,6654 NW 16 St / NW 12 Av / NW 13 Av,146,Miami,Traffic Responsive,SCOOT,-8929690.94794196,2973147.796038937
6655,6655 SW 72 Av & SW 39 St,50,Unincorporated Miami-Dade,SCOOT,ATSPM,-8940170.938838728,2966249.780763071
6658,6658 Hia-Hialeah Garden Blvd & W 80 St,260,Hialeah,SCOOT,SCOOT,-8944662.94634582,2986102.039643564
6659,6659 SW 122 Av & SW 128 St,202,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8949107.554013731,2955701.738110853
6660,6660 NW 12 St @ NW 10500 Blk,292,Doral,Traffic Responsive,SUNRISE,-8946382.665499337,2972317.459022068
6662,6662 Old Dixie Hwy & SW 264 St,178,Unincorporated Miami-Dade,SCOOT,ATSPM,-8952934.206037546,2939957.496261643
6665,6665 NW 87 Av & NW 66 St,83,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8943187.82060386,2978473.771876762
6666,6666 NW 93 Ct & NW 12 St,291,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8944264.453738235,2972281.208997848
6667,6667 NW 79 Av & NW 7 St,272,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8941671.900721304,2971470.315842735
6668,6668 SW 152 Av & SW 10 St,47,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8954628.297217894,2969054.6394951986
6669,6669 Douglas Rd & SW 12 St,63,Coral Gables,SCOOT,ATSPM,-8933948.483205594,2969517.9554264178
6670,"NW 84 Av & NW 74 St, Miami FL",83,Medley,Traffic Responsive,SUNRISE,-8942764.451,2979354.4078
6671,6671 SW 132 Av-N Leg & SW 268 St,179,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8950672.644828564,2939529.870537127
6672,6672 SW 132 Av-S Leg & SW 268 St,179,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8950569.291360531,2939524.074192926
6674,6674 SW 157 Av & SW 144 St,281,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8955359.177579843,2953668.2566000866
6675,6675 Miller Dr & SW 162 Av,201,Unincorporated Miami-Dade,Fully Actuated,ATSPM,-8956226.700390348,2963601.858966204
6677,6677 SW 24 Av & SW 8 St,44,Miami,SCOOT,SCOOT,-8931693.315074967,2970041.3891933914
6678,6678 SW 157 Av & SW 47 St,201,Unincorporated Miami-Dade,Fully Actuated,ATSPM,-8955364.807006491,2964530.458493406
6680,6680 Fontainebleau Blvd @ NW 9500 Blk,291,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8944615.029984202,2971302.7493413896
6688,6688 Flagler St W / W 38 Av / W 38 Ct,4,Miami,SCOOT,SUNRISE,-8934246.212749694,2970843.729536368
6689,6689 NE 6 Av / NE 136 St / NE 137 St,43,North Miami,Fully Actuated,SUNRISE,-8926366.245520886,2986801.1595502403
6690,6690 SW 344 St / SW 183 Av / SW 184 Av,290,Florida City,Fully Actuated,SUNRISE,-8959965.273093464,2930850.0749989073
6694,6694 SW 127 Av & SW 248 St,200,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8949696.312781781,2941806.2379376846
