ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
2001,2001 N Miami Av & N 87 St,66,Miami,Fully Actuated,SUNRISE,-8927508.564947195,2981113.2762042703
2002,2002 NE 2 Av & NE 87 St,66,Miami,Fully Actuated,SUNRISE,-8927050.193585515,2981129.3661091393
2003,2003 SR-826 & NE 10 Av,75,North Miami Beach,SCOOT,SCOOT,-8925611.344639216,2990050.8541555973
2004,2004 US - 1 @ NE 13800 Blk,37,North Miami Beach,Traffic Responsive,SCOOT,-8923284.096025106,2987228.3024624805
2007,2007 NE 12 Av & NE 159 St,105,North Miami Beach,Fully Actuated,SUNRISE,-8925133.896456396,2989387.0416651075
2010,2010 SR - 826 & US - 1,247,North Miami Beach,SCOOT,SCOOT,-8922681.216379648,2989936.252697955
2012,2012 SR-826 & NE 12 Av,75,North Miami Beach,SCOOT,SCOOT,-8925155.725095347,2989846.5743772974
2013,2013 SR-826 & NE 19 Av,75,North Miami Beach,SCOOT,SCOOT,-8923586.762588624,2989915.0856830673
2014,2014 SR-826 & NE 15 Av,75,North Miami Beach,SCOOT,SCOOT,-8924485.995869277,2989876.0590412035
2016,2016 NE 19 Av & NE 164 St,137,North Miami Beach,Fully Actuated,SUNRISE,-8923594.672951639,2990052.6699721706
2017,2017 SR-826 & NE 8 Av,75,North Miami Beach,SCOOT,SCOOT,-8926069.171648586,2990259.627507185
2018,2018 SR-826 & NE 6 Av,75,North Miami Beach,SCOOT,SCOOT,-8926517.121279538,2990238.841262785
2019,2019 SR - 826 & W Dixie Hwy,247,North Miami Beach,SCOOT,SCOOT,-8922915.949110713,2989931.947749686
2020,2020 SR-826 & NW 2 Av,75,North Miami Beach,SCOOT,SCOOT,-8928308.516826788,2990158.325635398
2023,2023 W Dixie Hwy & NE 172 St,277,North Miami Beach,SCOOT,ATSPM,-8922473.874922484,2991000.084220466
2024,2024 Miami Gardens Dr & NE 19 Av,88,North Miami Beach,SCOOT,SCOOT,-8923693.028174534,2992402.8627910083
2025,2025 US - 1 / NE 140 St / NE 141 St,37,North Miami Beach,Traffic Responsive,SCOOT,-8923215.752536928,2987488.799925137
2026,2026 NE 6 Av / NE 171 St / NE 172 St,87,North Miami Beach,Fully Actuated,SUNRISE,-8926540.554032348,2990799.9354319614
2027,2027 SR-826 / NE 10 Av / NE 11 Av,75,North Miami Beach,SCOOT,SCOOT,-8925443.921238257,2989921.539385187
