ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
5200,5200 NW 75 Av & NW 25 St,264,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8941013.809947997,2973973.5175673505
5201,5201 SW 117 Av @ SW 7800 Blk,246,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8948086.461512895,2961399.534754878
5202,5202 Marlin Rd & Old Cutler Rd,252,Cutler Bay,Traffic Responsive,SUNRISE,-8943833.986833313,2946372.0280122757
5203,5203 NW 87 Av & NW 103 St,147,Hialeah Gardens,SCOOT,SCOOT,-8943299.11003839,2982771.4372743997
5204,5204 NE 13 Av & NE 167 St,233,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8924952.74847542,2990310.458806418
5206,5206 NW 2 Av & NW 165 St,75,Unincorporated Miami-Dade,SCOOT,ATSPM,-8928298.479148304,2989931.252125616
5207,5207 W 1 Av & W 9 St,112,Hialeah,Fully Actuated,SUNRISE,-8937133.584306043,2978023.180970155
5208,5208 NW 82 Av & NW 176 St,282,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8942803.287460422,2990798.3336684676
5209,5209 NW 19 Av & NW 135 St,42,Opa-Locka,Fully Actuated,SUNRISE,-8931321.661596615,2986396.3109194334
5210,5210 Red Rd & NW 173 Dr,271,Unincorporated Miami-Dade,SCOOT,SCOOT,-8938230.879451105,2990480.737398879
5211,5211 NW 74 Av & NW 74 St,83,Medley,Traffic Responsive,SUNRISE,-8940976.729425615,2979329.9819216495
5212,5212 Miami Lakes Dr W & NW 77 Ct,244,Miami Lakes,Fully Actuated,ATSPM,-8942073.380030824,2988343.5865125377
5213,5213 SW 4 Av & SW 6 St,24,Miami,SCOOT,SCOOT,-8927916.245865548,2970386.829193784
5214,5214 NW 77 Ct & NW 74 St,83,Medley,Traffic Responsive,SUNRISE,-8941716.731306637,2979368.044092945
5215,5215 Coral Way & SW 84 Av,222,Unincorporated Miami-Dade,SCOOT,SUNRISE,-8942462.063164879,2967874.71182242
5216,5216 SW 74 Av & SW 12 St,45,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8940710.353016093,2969270.0079874857
5217,5217 SW 137 Av & SW 160 St,171,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951707.609964343,2951956.326589603
5218,5218 Kendall Dr & SW 147 Av,164,Unincorporated Miami-Dade,SCOOT,SCOOT,-8953419.63026188,2960115.2039756356
5219,5219 Red Rd & W 36 Ter & W 37 St,39,Hialeah,Fully Actuated,SUNRISE,-8937874.74168338,2981171.5670931055
5220,5220 Miami Lakes Dr W & Miami Lkwy S,244,Miami Lakes,Fully Actuated,SUNRISE,-8941013.71087365,2987928.4379129824
5221,5221 Coral Way @ SW 10900 Blk,149,Unincorporated Miami-Dade,SCOOT,ATSPM,-8947116.692863291,2967730.91295184
