ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
4000,4000 NW 17 Av & NW 60 St,124,Miami,Fully Actuated,SUNRISE,-8930586.837185109,2978030.8711272716
4001,4001 NW 7 Av @ NW 16000 Blk,196,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8929289.781440208,2989382.713362239
4002,4002 Killian Pkwy & SR-874 NB,165,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8946019.655979445,2958428.21125526
4003,4003 Killian Pkwy & SW 107 Av & SW 104 St,165,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8946491.082891006,2958563.867427913
4005,4005 US - 1 & NE 91 St,37,Miami Shores,Traffic Responsive,SCOOT,-8925960.381336622,2981626.809831842
4006,4006 W 21 St @ W 250 Blk,111,Hialeah,Traffic Responsive,SUNRISE,-8937508.100921698,2979362.1528791804
4007,4007 NE 2 Av & NE 115 St,107,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8927162.26670926,2984330.1087518134
4055,4055 NW 75 St / NW 17 Av / NW 19 Av,122,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931054.051767139,2979670.990248884
4056,4056 SR - 826 EB & NW 27 Av,60,Miami Gardens,SCOOT,SCOOT,-8932786.711811462,2989927.339550289
4057,4057 Bird Rd & SR - 821 SB,51,Unincorporated Miami-Dade,Traffic Responsive,ATSPM,-8948538.887300573,2965930.106808659
4060,4060 W 2 Ct & W 65 St,98,Hialeah,Fully Actuated,SUNRISE,-8937569.338886779,2984389.627493089
4061,4061 US - 1 & NE 114 St,37,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8924125.975277713,2984352.0867586965
4062,4062 Bird Rd & SR-826 NB,50,Unincorporated Miami-Dade,SCOOT,SCOOT,-8940879.881468624,2966046.4742034767
4064,4064 NW 2 Av & NW 135 St,43,Unincorporated Miami-Dade,SCOOT,SCOOT,-8928176.517514192,2986533.2024672697
4065,4065 NW 10 Av & NW 119 St,102,Unincorporated Miami-Dade,SCOOT,SCOOT,-8929449.86109436,2984669.104285864
4105,4105 NE 19 Av & NE 171 St,137,North Miami Beach,Fully Actuated,SUNRISE,-8923628.305909393,2990828.8451889246
4106,4106 W 16 Av & W 76 St,295,Hialeah,Fully Actuated,SUNRISE,-8940729.712588739,2985658.110882906
