ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
6000,6000 SW 112 Av & SW 38 St,51,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8947386.891984124,2966168.452858549
6001,6001 SW 142 Av & SW 120 St,202,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8952746.804127576,2956503.933486501
6006,6006 Collins Av & 7 St,19,Miami Beach,SCOOT,SCOOT,-8920307.16237244,2971479.2288766205
6008,6008 Michigan Av & 17 St,191,Miami Beach,SCOOT,SCOOT,-8921015.85230709,2973355.4343142216
6010,6010 SW 162 Av & SW 296 St,290,Unincorporated Miami-Dade,SCOOT,ATSPM,-8955982.99642152,2936296.525221149
6014,6014 West Av & 8 St,8,Miami Beach,SCOOT,SCOOT,-8921370.478356132,2971628.8091837387
6024,6024 Collins Av & 13 St,19,Miami Beach,SCOOT,SCOOT,-8920145.306059217,2972360.632297226
6025,6025 Galloway Rd @ SW 21500 Blk,252,Cutler Bay,Fully Actuated,SUNRISE,-8942465.214619663,2945461.7617775532
6027,6027 SW 137 Av & SW 180 St,174,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951620.454595417,2949685.134985587
6030,6030 W 32 Av & W 68 St,260,Hialeah,Fully Actuated,SUNRISE,-8944270.094296834,2984734.2925913366
6032,6032 US - 1 @ NE 20500 Blk,38,Aventura,SCOOT,SCOOT,-8921822.876313936,2994835.1778495014
6033,6033 Anastasia Av & Segovia St,64,Coral Gables,Fully Actuated,SUNRISE,-8935217.658984026,2967151.528458115
6034,6034 Riviera Dr & University Dr,64,Coral Gables,SCOOT,ATSPM,-8935067.075995633,2966906.04689643
6035,Brickell Av & SE 14 St,223,Miami,Traffic Responsive,SCOOT,-8926952.329281572,2969430.0003517326
6037,6037 NW 2 Av & NW 8 St,184,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8959163.620252049,2934462.5987669565
6042,6042 US - 1 & SW 224 St & Miami Av,35,Unincorporated Miami-Dade,SCOOT,SCOOT,-8948843.55872812,2944549.3675181568
6045,6045 US - 1 & SW 132 Av,35,Unincorporated Miami-Dade,SCOOT,SCOOT,-8950608.886590213,2942579.7556345235
6047,6047 SW 152 Av & SW 96 St,250,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8954653.273972044,2959155.029362851
6048,6048 SR- 836 WB On & NW 107 Av SB,292,Sweetwater,Traffic Responsive,SUNRISE,-8946619.002344267,2972090.0306070996
6051,6051 Howard Dr EB & Old Cutler Rd,168,Pinecrest,Traffic Responsive,SUNRISE,-8939293.426217116,2955121.656587089
6052,6052 US - 1 & SW 137 Av,35,Unincorporated Miami-Dade,SCOOT,SCOOT,-8951514.797927119,2941553.003620572
6053,6053 US - 1 & SW 244 St,35,Unincorporated Miami-Dade,SCOOT,SCOOT,-8950979.402383368,2942158.396820735
6055,6055 Coral Way & SW 142 Av,210,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8952785.785986861,2967315.940631115
6057,6057 Ludlam Rd & NW 34 St,6,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8939514.934192678,2974827.357560557
6058,6058 US - 1 & NE 203 St,38,Aventura,SCOOT,SCOOT,-8921914.619159078,2994571.8821356613
6059,6059 Coral Reef Dr & SW 152 Av,281,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8954411.695092294,2952768.2643665876
6074,6074 NW 104 Av & NW 41 St,263,Doral,Traffic Responsive,SUNRISE,-8946247.847577233,2975768.228383792
6079,6079 LeJeune Rd @ SW 4500 Blk,49,Coral Gables,Traffic Responsive,SCOOT,-8934714.701939892,2965784.1805214677
6081,6081 Collins Av / 175 Ter / 178 St,91,Sunny Isles Beach,SCOOT,SCOOT,-8919079.202635475,2991568.9817146333
6088,6088 NW 102 Rd & NW 116 Way,279,Medley,Fully Actuated,SUNRISE,-8946126.215448814,2983065.197328246
6089,6089 NW 132 Av & NW 12 St,273,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951065.700592216,2972157.280630733
6090,6090 NW 27 Av @ NW 15200 Blk,60,Miami Gardens,SCOOT,SCOOT,-8932748.012703683,2988364.04084693
6091,6091 N Miami Av & N 15 St,28,Miami,SCOOT,SCOOT,-8927226.147399051,2973018.290658602
6092,6092 Bayshore Dr S & Kirk St,162,Miami,Traffic Responsive,SUNRISE,-8931073.105211182,2966360.3264874704
6093,6093 US - 1 & SW 264 St,178,Unincorporated Miami-Dade,SCOOT,SCOOT,-8952821.76778587,2939956.3515151776
6094,6094 NW 114 Av & NW 58 St,258,Doral,Fully Actuated,SUNRISE,-8948081.721528977,2977572.579198178
6095,6095 NW 107 Av & NW 58 St,258,Doral,Fully Actuated,SUNRISE,-8946733.41317732,2977566.145787638
6096,6096 NW 102 Av & NW 58 St,258,Doral,Fully Actuated,SUNRISE,-8945846.770131076,2977575.677179464
6097,6097 SR- 836 WB Off & NW 107 Av NB,292,Sweetwater,Traffic Responsive,SUNRISE,-8946589.90231618,2972087.3232060843
6098,6098 SW 127 Av & SW 184 St,174,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8949762.335258577,2949262.9798079617
6109,6109 NW 107 Av & NW 27 St,265,Doral,Traffic Responsive,SUNRISE,-8946655.054274555,2974186.2529886127
6110,6110 NW 79 Pl & NW 74 St,83,Medley,Traffic Responsive,SUNRISE,-8942032.175121307,2979373.0385775194
6111,6111 NW 79 Pl & NW 77 St,83,Medley,Fully Actuated,SUNRISE,-8942040.055428062,2979750.099874213
6112,6112 Collins Av / 31 St / 32 St,19,Miami Beach,SCOOT,SCOOT,-8919382.169761615,2975180.364061653
6114,6114 Coral Reef Dr & SW 157 Av,281,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8955315.538113061,2952753.1166615286
6115,6115 SW 127 Av & SW 80 St,261,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8950302.116790263,2961019.515508999
6118,6118 SW 117 Av @ SW 16000 Blk,172,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8948083.599488787,2952139.040884265
6119,6119 Miami Gardens Dr & NW 79 Av,282,Unincorporated Miami-Dade,SCOOT,SCOOT,-8942239.519918052,2991941.7565760263
6120,6120 Red Rd & NW 176 St,271,Unincorporated Miami-Dade,SCOOT,SCOOT,-8938237.47847052,2990786.5432586805
6121,6121 Bird Rd & SW 74 Av,50,Unincorporated Miami-Dade,SCOOT,SCOOT,-8940630.974426795,2966057.456294211
6126,6126 Carver Dr & Lincoln Blvd,171,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8947469.256162167,2953707.810536845
6127,6127 Douglas Rd @ NW 16400 Blk,193,Miami Gardens,Fully Actuated,SUNRISE,-8934563.094812186,2989616.7455627536
6128,6128 MIA Service Rd N & MIA Service Rd W,204,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8935720.734026818,2973720.717365275
6129,6129 MIA Service Rd W & NW 21 St,204,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8935705.119241845,2973677.850418516
6130,6130 McLaughlin Dr & MIA Service Rd N,204,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8935131.604564862,2973744.268213301
