ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
4400,4400 NW 39 Av & NW 7 St,293,Miami,SCOOT,SUNRISE,-8934483.453508887,2971713.5978720486
4401,4401 Kendall Dr & SR-821 NB Off,164,Unincorporated Miami-Dade,SCOOT,SCOOT,-8948648.277624588,2960273.3747458486
4402,4402 W 2 Av & W 49 St,138,Hialeah,Fully Actuated,SUNRISE,-8937487.28640331,2982591.033459401
4404,4404 SW 127 Av & SW 104 St,240,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8950114.508939235,2958429.720556544
4405,4405 Okeechobee Rd & SR-826 SB,262,Hialeah Gardens,SCOOT,SCOOT,-8941592.213777015,2981122.4486972652
4406,4406 NW 30 Av & NW 7 St,56,Miami,Traffic Responsive,ATSPM,-8932705.20034072,2971774.061739569
4407,4407 NW 18 Av & NW 62 St,124,Miami,Fully Actuated,SUNRISE,-8930820.894206867,2978244.094647955
4409,4409 NW 5 Av & NW 103 St,32,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8928479.272020107,2982905.8267095163
4410,4410 Red Rd & W 53 St,40,Hialeah,Fully Actuated,SUNRISE,-8937926.999505138,2983101.1585815325
4411,4411 Okeechobee Rd & W 8 Av,62,Hialeah,SCOOT,SCOOT,-8938754.511864264,2978776.8491760134
4412,4412 Sunset Dr & SW 102 Av,156,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8945426.913086819,2962138.1286356733
4413,4413 Alhambra Cir S & Ponce De Leon Blvd,73,Coral Gables,Traffic Responsive,SCOOT,-8936773.79080624,2963509.348065765
4414,4414 Alcazar Av & Salzedo St,63,Coral Gables,SCOOT,SCOOT,-8934590.088675508,2968504.629564917
4415,4415 W 3 Av & W 9 St,112,Hialeah,Fully Actuated,SUNRISE,-8937578.011788305,2978008.148196403
4416,4416 NW 2 Av & NW 95 St,55,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8927994.202904949,2982009.8549100365
4417,4417 Alcazar Av & Ponce De Leon Blvd,63,Coral Gables,SCOOT,ATSPM,-8934364.056675844,2968524.978329231
4418,4418 Old Cutler Rd & SW 128 St,169,Pinecrest,Traffic Responsive,SUNRISE,-8937348.78157967,2956118.7749186666
4419,4419 Old Cutler Rd / Campana Av / SW 105 St,214,Coral Gables,Traffic Responsive,SUNRISE,-8936493.23340679,2958818.484419454
4420,4420 NE 6 Av & NE 107 St,90,Miami Shores,Fully Actuated,SUNRISE,-8926235.97722637,2983442.665611507
4421,4421 Flagler St W & W 74 Av,272,Unincorporated Miami-Dade,SCOOT,SUNRISE,-8940774.843736697,2970623.152367316
4423,4423 Flagler St W & W 112 Av,72,Sweetwater,Fully Actuated,SUNRISE,-8947528.915616868,2970413.870421057
4424,4424 Ocean Dr & 10 St,19,Miami Beach,SCOOT,SCOOT,-8920103.354195915,2971904.1903222706
4427,4427 Convention Center Dr & Dade Blvd & Prairie Av,82,Miami Beach,SCOOT,SCOOT,-8920584.22211349,2973941.076543183
4471,4471 NE 23 Av & NE 207 St,134,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8922900.9109607,2994971.1667385027
4472,4472 SW 109 Av & SW 128 St,170,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8946881.677380718,2955789.6358082695
4476,4476 Coral Reef Dr & SW 77 Av,167,Palmetto Bay,SCOOT,SUNRISE,-8940875.600121006,2953271.252570294
4477,4477 Galloway Rd & NW 36 St Ext,257,Doral,Traffic Responsive,ATSPM,-8943117.32642312,2975554.5772048044
4478,4478 Galloway Rd @ SW 6000 Blk,154,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8942816.080296304,2963491.224028472
4480,4480 SW 122 Av & SW 104 St,240,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8949209.504856179,2958463.9454250326
4481,4481 SR - 878 & US - 1,1,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8939289.089209756,2961143.907071078
4483,4483 Galloway Rd & SR- 878 WB,213,Unincorporated Miami-Dade,Traffic Responsive,ATSPM,-8942724.5912596,2961477.0387718314
4484,4484 Perimeter Rd & NW 15 St,204,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8935866.575918097,2972742.9986278927
4486,4486 N Miami Blvd & NE 12 Av,108,North Miami,SCOOT,SCOOT,-8924970.16329656,2985558.267656319
4487,4487 NW 45 Av & NW 15 St,270,Miami,Fully Actuated,SUNRISE,-8935592.568557484,2972726.90062677
4488,4488 SW 122 Av / SW 105 St / SW 105 Ter,240,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8949178.88309065,2958140.9305540826
