ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
2400,2400 NW 10 Av & NW 20 St,143,Miami,Fully Actuated,SUNRISE,-8929056.770821663,2973727.789539517
2401,2401 NW 12 Av & NW 20 St,143,Miami,Fully Actuated,SUNRISE,-8929511.474206124,2973712.8761578915
2402,2402 NW 17 Av & NW 20 St,143,Miami,Fully Actuated,SUNRISE,-8930412.11901792,2973680.8696836554
2404,2404 North River Dr & NW 27 Av & NW 20 St,56,Miami,Traffic Responsive,SUNRISE,-8932255.779066099,2973623.210728949
2409,2409 NW 12 Av & NW 22 St,143,Miami,Fully Actuated,SUNRISE,-8929521.137851119,2974055.4006242105
2410,2410 NW 17 Av & NW 22 St,142,Miami,Fully Actuated,SUNRISE,-8930427.564597266,2974021.66365143
2413,2413 NW 10 Av & NW 28 St,148,Miami,Fully Actuated,SUNRISE,-8929088.900966292,2974641.444238839
2414,2414 NW 12 Av & NW 28 St,148,Miami,Fully Actuated,SUNRISE,-8929541.877785448,2974623.0962500363
2415,2415 NW 17 Av & NW 28 St,142,Miami,Fully Actuated,SUNRISE,-8930445.992425773,2974596.593777485
2416,2416 NW 22 Av & NW 28 St,141,Miami,Fully Actuated,SUNRISE,-8931358.775514847,2974566.38690282
2417,2417 US - 1 & NE 29 St,3,Miami,SCOOT,SCOOT,-8926638.378261274,2974858.3365428173
2418,2418 NE 2 Av & NE 29 St,3,Miami,SCOOT,SCOOT,-8926827.382058715,2974852.0217908574
2419,2419 N Miami Av & N 29 St,129,Miami,SCOOT,SCOOT,-8927282.279139088,2974821.614078786
2420,2420 NW 2 Av & NW 29 St,123,Miami,SCOOT,SCOOT,-8927734.159461262,2974807.3339010356
2421,2421 NW 5 Av & NW 29 St,123,Miami,SCOOT,SCOOT,-8928182.551030593,2974792.8682645643
2422,2422 NW 7 Av & NW 29 St,30,Miami,SCOOT,SCOOT,-8928635.557906011,2974777.4406586015
2423,2423 NW 10 Av & NW 29 St,148,Miami,Fully Actuated,SUNRISE,-8929090.895811567,2974764.5416740826
2424,2424 NW 12 Av & NW 29 St,148,Miami,Fully Actuated,SUNRISE,-8929542.267403666,2974749.9685060405
2425,2425 NW 17 Av & NW 29 St,142,Miami,Fully Actuated,SUNRISE,-8930452.01592342,2974712.442603221
2426,2426 NW 17 Av & NW 35 St,7,Miami,Fully Actuated,SUNRISE,-8930475.77929512,2975394.829605874
2430,2430 N Miami Av / N 120 St / N 121 St,107,North Miami,Fully Actuated,SUNRISE,-8927653.581961045,2984922.6418432468
2437,2437 NW 12 Av / NW 186 St / NW 187 St,86,Miami Gardens,Fully Actuated,SUNRISE,-8930205.11151923,2992304.5047695707
2441,2441 NW 22 Av / NW 47 St / NW 48 St,120,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931435.62158573,2976549.3809019886
2442,2442 NW 22 Av / NW 51 Ter / NW 52 St,120,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931454.608238079,2977095.6351747145
2443,2443 NW 22 Av / NW 68 St / NW 69 St,120,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931520.239983462,2978850.0728546986
2446,2446 NW 22 Av / NW 83 St / NW 83 Ter,284,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931577.429258663,2980573.090217968
2451,2451 NW 32 Av / NW 34 St / NW 35 St,155,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8933201.83555097,2975251.972170291
2455,2455 NW 46 St / NW 23 Av / NW 24 Av,120,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931711.688356923,2976395.9316850505
2456,2456 NW 46 St / NW 29 Av / NW 30 Av,57,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8932616.87834353,2976363.4618008947
2457,2457 NW 54 St / NW 24 Av / NW 24 Ct,120,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931968.80966398,2977302.9398494414
2461,2461 NW 71 St / NW 18 Av / NW 19 Av,122,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8930921.161898615,2979161.5821515154
2464,2464 NW 87 St / NW 33 Ct / NW 34 Av,114,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8933781.382631158,2980891.6549356473
2467,2467 NW 103 St / NW 10 Av / NW 11 Av,54,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8929532.524721833,2982867.9198734555
2468,2468 NW 103 St / NW 22 Av / NW 23 Av,54,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931813.141601248,2982776.770665706
2472,2472 Opa-Locka Blvd / NW 9 Av / NW 10 Av,32,Unincorporated Miami-Dade,Traffic Responsive,ATSPM,-8929476.193719905,2986650.689013812
2477,2477 Memorial Hwy & N Miami Av,103,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8927795.926193923,2987978.81060568
2478,2478 NW 27 Av & NW 38 St,155,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8932309.698887853,2975686.156453258
2479,2479 NW 27 Av & NW 28 St,155,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8932278.685277719,2974539.141418644
2480,2480 NW 27 Av & NW 41 St,155,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8932318.085698292,2975915.914748013
2482,2482 NW 22 Av & NW 46 St,120,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931426.41991662,2976407.4804798043
2483,2483 NW 27 Av & NW 46 St,57,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8932332.519383468,2976370.8988164123
2484,2484 NW 32 Av & NW 46 St,118,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8933236.54274181,2976341.7765041785
2485,2485 NW 22 Av & NW 54 St,120,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931459.61204919,2977320.8150667907
2486,2486 NW 27 Av & NW 54 St,57,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8932361.91997418,2977291.3322237916
2487,2487 NW 32 Av & NW 54 St,118,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8933268.99793935,2977259.5244580708
2488,2488 NW 22 Av & NW 62 St,120,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931494.284730988,2978216.350085511
2489,2489 NW 27 Av & NW 62 St,57,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8932399.53483012,2978181.3952025715
2490,2490 NW 32 Av & NW 62 St,117,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8933308.820260791,2978161.484449791
2492,2492 NW 17 Av & NW 75 St,122,Miami,Fully Actuated,SUNRISE,-8930640.906174982,2979628.1021705675
2493,2493 NW 22 Av & NW 75 St,120,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931547.981913762,2979654.5481960415
2494,2494 NW 27 Av & NW 75 St,57,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8932457.294061113,2979623.7594411457
2495,2495 I- 95 NB Off & NW 79 St,31,Miami,Traffic Responsive,ATSPM,-8928617.018758014,2980159.140740892
2497,2497 NW 17 Av & NW 79 St,57,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8930650.570933172,2980086.724412034
2498,2498 NW 22 Av & NW 79 St,57,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8931562.788519232,2980052.2214878574
2499,2499 NW 27 Av & NW 79 St,57,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8932470.344045017,2980025.993679521
2500,2500 NW 32 Av & NW 79 St,115,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8933378.854692034,2979991.2064061975
2502,2502 NW 27 Av & NW 87 St,58,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8932498.146087844,2980939.390823426
2503,2503 I- 95 NB & NW 95 St,32,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8928680.942862406,2981990.3657431076
2504,2504 NW 7 Av & NW 95 St,32,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8928901.511301465,2981981.7407373195
2505,2505 NW 17 Av & NW 95 St,121,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8930705.278896924,2981898.4550137497
2506,2506 NW 22 Av & NW 95 St,284,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931618.007439446,2981868.09822525
2507,2507 NW 27 Av & NW 95 St -E leg,58,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8932525.659813188,2981840.781004433
2509,2509 NW 7 Av & NW 103 St,32,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8928927.281763583,2982893.7803913313
2510,2510 NW 17 Av & NW 103 St,54,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8930732.590020794,2982815.7090586913
2512,2512 NW 27 Av & NW 103 St,58,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8932552.403207658,2982762.600253839
2514,2514 NW 7 Av & NW 111 St,32,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8928963.760047521,2983791.8787568607
2515,2515 W Dixie Hwy & NE 2 Av,107,North Miami,Fully Actuated,SUNRISE,-8927176.078118484,2984611.7360955495
2516,2516 N Miami Av & N 119 St,107,North Miami,Fully Actuated,SUNRISE,-8927642.123845857,2984756.9851436396
2517,2517 NW 7 Av & NW 119 St,32,North Miami,Traffic Responsive,SCOOT,-8929001.564146595,2984688.123131082
2518,2518 NW 17 Av & NW 119 St,102,Unincorporated Miami-Dade,SCOOT,SCOOT,-8930799.479676424,2984609.313434343
2520,2520 NW 27 Av & NW 119 St,58,Unincorporated Miami-Dade,SCOOT,SCOOT,-8932617.83123837,2984562.0369764417
