ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
5655,5655 Miller Dr @ SW 9400 Blk,154,Unincorporated Miami-Dade,SCOOT,SUNRISE,-8944204.78871756,2963978.943743652
5658,5658 SW 132 Av & SW 127 Dr,261,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8950706.483727375,2961012.089973175
5659,5659 SW 92 Av & SW 12 St,217,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8943861.531728113,2969183.3052422157
5661,5661 US - 1 & SW 84 St,1,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8939390.645981206,2961047.783474798
5662,5662 Douglas Rd & NW 171 St,193,Miami Gardens,Fully Actuated,SUNRISE,-8934594.158516092,2990344.031623784
5663,5663 Douglas Rd / NW 188 St / NW 189 St,131,Miami Gardens,Fully Actuated,SUNRISE,-8934683.40557825,2992311.689929873
5664,5664 NE 29 Av & NE 190 St,38,Aventura,Fully Actuated,SUNRISE,-8921444.62604256,2993068.8813309297
5665,5665 NW 87 Av & NW 146 St,259,Miami Lakes,Fully Actuated,SUNRISE,-8943480.992728008,2987449.445631429
5666,5666 Bird Rd @ SW 11500 Blk,51,Unincorporated Miami-Dade,Traffic Responsive,ATSPM,-8948026.178669047,2965937.0714271595
5668,5668 SW 147 Av & SW 288 St,180,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8953299.489814635,2937223.399532509
5669,5669 NW 97 Av & NW 58 St,258,Doral,Fully Actuated,SUNRISE,-8944957.88399709,2977562.3416423276
5670,5670 North River Dr & NW 15 Av & NW 13 Ter,146,Miami,Traffic Responsive,SUNRISE,-8930134.835524691,2972630.080566466
5671,5671 South River Dr & NW 93 St,262,Medley,SCOOT,ATSPM,-8942168.223123785,2981501.4057178437
5672,5672 NW 32 Av & NW 199 St,131,Miami Gardens,Fully Actuated,SUNRISE,-8933871.607078446,2993564.93065
5673,5673 Hammocks Blvd & SW 152 Av,250,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8954653.916285506,2958990.594789232
5674,5674 SW 117 Av & SW 76 St,246,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8948089.268990453,2961619.600384569
5675,5675 SW 112 Av & SW 104 St,165,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8947388.523927858,2958531.3208497153
5676,5676 Coral Reef Dr @ SW 133 Av,171,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8951010.132128801,2952893.761645774
5677,5677 Palm Av & 39 St,110,Hialeah,Fully Actuated,SUNRISE,-8937028.952890256,2981463.461700146
5691,5691 Howard Dr @ SW 8800 Blk,170,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8942979.25017952,2955169.8656698363
5692,5692 NW 84 Av & NW 25 St,264,Doral,Traffic Responsive,SCOOT,-8942569.024497608,2973957.2278071195
5694,5694 SW 72 Av & SW 48 St,159,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8940148.021495158,2965141.3406375633
5695,5695 NW 25 St @ NW 6600 Blk,253,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8939405.966882724,2973966.350070619
5696,5696 SW 137 Av & SW 184 St,174,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951576.798430711,2949195.0838702517
5697,5697 SW 117 Av & SW 134 St,202,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8948182.930983616,2955028.078985737
5702,5702 Coral Way & SW 139 Av,210,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8952345.049858913,2967332.3231229335
5703,5703 SW 127 Av & SW 43 Dr,201,Unincorporated Miami-Dade,Fully Actuated,ATSPM,-8950038.985343901,2965330.977851157
5705,5705 Howard Dr & SW 102 Av,170,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8945465.457460508,2954943.191370531
5706,5706 NW 22 St @ NW 6300 Blk,253,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8938959.523404483,2973589.1631825236
5707,5707 NE 25 Av & NE 203 St,38,Unincorporated Miami-Dade,SCOOT,SCOOT,-8922526.409929775,2994534.383291709
5721,5721 Hammocks Blvd & Kendall Dr & SW 150 Av,164,Unincorporated Miami-Dade,SCOOT,SCOOT,-8954212.570126748,2960081.479247901
5723,5723 NW 60 Av / NW 142 St / Miami Lakes Dr E,256,Miami Lakes,Fully Actuated,SUNRISE,-8938763.15470953,2987238.1606775206
5724,5724 SW 97 Av & SW 128 St,170,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8944586.668004336,2955888.312184387
5726,5726 Kendall Dr & Krome Av,164,Unincorporated Miami-Dade,SCOOT,SCOOT,-8958809.005334958,2960566.0656260443
5727,5727 Collins Av @ 16900 Blk,91,Sunny Isles Beach,SCOOT,SCOOT,-8919126.085952215,2990735.3958905637
5728,5728 NW 102 Av & NW 52 St,263,Doral,Fully Actuated,SUNRISE,-8945667.53016617,2976915.8145447955
5729,5729 SW 157 Av & SW 80 St,261,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8955240.800433334,2961038.182514714
5730,5730 NW 22 Av & NW 111 St,58,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931664.046954447,2983688.6941350335
5732,5732 SW 137 Av & SW 59 St,201,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951758.49521678,2963439.547972832
5733,5733 SW 137 Av & SW 62 St,201,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951746.764368838,2963171.687910361
5734,5734 SW 137 Av & SW 68 St,201,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951716.148169287,2962332.3167511034
5735,5735 SW 137 Av & SW 82 St,261,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951835.277835554,2960731.9470466394
5736,5736 Country Club Dr W & Spoke Rd,38,Aventura,Fully Actuated,SUNRISE,-8921070.568063205,2993791.0319038494
5737,5737 Red Rd & NW 189 St,271,Unincorporated Miami-Dade,SCOOT,ATSPM,-8938309.07471422,2992199.8920097235
5738,5738 W 18 Ct & W 44 Pl,236,Hialeah,SCOOT,SCOOT,-8941133.230158135,2982063.7453010506
5740,5740 SW 122 Av & SW 20 Ter,160,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8949009.543881256,2968079.11029099
5741,5741 SW 72 Av & SW 8 St,0,Miami,SCOOT,SCOOT,-8940275.391030135,2969735.973409656
5742,5742 SW 17 Av & SW 3 St,69,Miami,SCOOT,ATSPM,-8930346.305821767,2970667.632196036
5743,5743 NW 14 St / NW 11 Av / NW 12 Av,144,Miami,Traffic Responsive,SCOOT,-8929366.943658445,2972802.9252336468
5744,5744 W 20 Av W & W 84 St,251,Hialeah,Fully Actuated,SUNRISE,-8942280.179362066,2986319.8122413573
5745,5745 Park Blvd & NW 84 Av,272,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8942572.07576485,2970864.495655757
5751,5751 Quail Roost Dr & SW 127 Av,174,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8949752.03597929,2947257.4842073494
5752,5752 Coral Reef Dr @ SW 13300 Blk,171,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8951220.885528358,2952889.1218560324
5753,5753 Country Club Dr E & Yacht Club Way,38,Aventura,Fully Actuated,SUNRISE,-8920083.539326554,2993650.6056036195
5754,5754 W 28 Av & W 65 St,259,Hialeah,Fully Actuated,SUNRISE,-8943343.136897,2984416.99896967
5755,5755 Cottonwood Cir & SW 152 Av,201,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8954349.745795669,2963917.905304662
5757,5757 NE 203 St @ NE 2800,38,Aventura,Fully Actuated,SUNRISE,-8921486.685885767,2994584.2303034794
