ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
3600,3600 Galiano St & Giralda Av & Merick Way,63,Coral Gables,SCOOT,SCOOT,-8934140.796531498,2968325.933920102
3601,3601 W Dixie Hwy & NE 18 Av & NE 151 St,106,North Miami Beach,Fully Actuated,SUNRISE,-8923757.091428291,2988532.8833323955
3602,3602 Miami Gardens Dr & NW 32 Av,85,Miami Gardens,Fully Actuated,SUNRISE,-8933761.89726749,2991729.9225298064
3603,3603 NW 32 Av & NW 28 St,155,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8933187.458638733,2974510.3912127153
3604,3604 Douglas Rd & North River Dr & NW 33 St,140,Hialeah,Fully Actuated,SUNRISE,-8934102.148630684,2975046.2520460393
3605,3605 North River Dr & NW 32 Av,155,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8933178.73230385,2974274.5716691557
3606,3606 SW 152 Av & SW 288 St,180,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8954200.42183072,2937216.3584227692
3608,3608 Okeechobee Rd & W 16 Av & W 29 St,62,Hialeah Gardens,SCOOT,SCOOT,-8940554.414447,2980263.626464674
3609,3609 LeJeune Rd & Miami Gardens Dr,85,Miami Gardens,Fully Actuated,SUNRISE,-8935552.327674756,2991653.6731774453
3610,3610 US - 1 & SW 296 St,290,Unincorporated Miami-Dade,SCOOT,SCOOT,-8956078.655486347,2936295.1069743023
3611,3611 Lincoln Rd & West Av,274,Miami Beach,SCOOT,SCOOT,-8921415.884463232,2973143.304396506
3612,3612 NW 2 Av & NW 191 St,133,Miami Gardens,SCOOT,SCOOT,-8928429.0580242,2992866.030029186
3613,3613 Bird Rd & SW 117 Av,51,Unincorporated Miami-Dade,Traffic Responsive,ATSPM,-8948224.583397487,2965930.064793583
3614,3614 Okeechobee Rd & SR-826 NB,262,Hialeah,SCOOT,SCOOT,-8941333.982614638,2980919.7026887196
3616,3616 NW 22 Av & NW 11 St,65,Miami,Fully Actuated,SUNRISE,-8931303.390728591,2972261.705577383
3617,3617 Flagler St W & W 43 Av,4,Miami,SCOOT,SUNRISE,-8935135.447313685,2970822.927598041
3618,3618 Flagler St W & Milam Dairy Rd,70,Miami,SCOOT,SUNRISE,-8940319.488020021,2970640.2406750782
3620,3620 Flagler St W & SR - 826 NB & W 76 Ct,272,Unincorporated Miami-Dade,SCOOT,SUNRISE,-8941093.288724838,2970610.526513821
3621,3621 Flagler St W & SR - 826,272,Unincorporated Miami-Dade,SCOOT,SUNRISE,-8941392.20938749,2970608.376881144
3622,3622 Tamiami Canal Rd & SW 72 Av,70,Miami,SCOOT,SUNRISE,-8940318.557389079,2970579.3797392063
3623,3623 Coral Way & SR- 826 NB,150,Unincorporated Miami-Dade,SCOOT,SUNRISE,-8940984.5151108,2967917.7175389603
3624,3624 Coral Way & SR- 826 SB,150,Unincorporated Miami-Dade,SCOOT,SUNRISE,-8941301.211269742,2967916.741174196
3625,3625 Ponce De Leon Ext & US - 1,34,Coral Gables,Traffic Responsive,SCOOT,-8934265.070271436,2965600.9174270118
3626,3626 US - 1 & SW 80 St,1,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8938859.294674557,2961538.47845725
3627,3627 US - 1 & SW 220 St,35,Unincorporated Miami-Dade,SCOOT,SCOOT,-8948449.482164735,2944998.9564116923
3629,3629 Collins Av & Harbor Way EB,22,Bal Harbour,Traffic Responsive,SCOOT,-8919400.413912963,2986053.945358574
3631,3631 SR- 826 S & NW 22 Av,42,Miami Gardens,Fully Actuated,SUNRISE,-8931892.809621224,2989960.5537710446
3633,3633 I- 95 NB & NW 103 St,32,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8928711.763889823,2982897.0922927535
3635,3635 NE 4 Ct & NE 71 St,66,Miami,Fully Actuated,SUNRISE,-8926472.612407533,2979307.850669246
3636,3636 US - 1 & NE 76 St,36,Miami,SCOOT,SCOOT,-8926100.35112476,2979892.6140529434
3637,3637 US - 1 & NE 87 St,37,Miami Shores,Traffic Responsive,SCOOT,-8926142.901886921,2981156.2799689756
3638,3638 US - 1 & NE 172 St,277,North Miami Beach,SCOOT,SCOOT,-8922362.768051919,2991004.9539464773
3639,3639 US - 1 & NE 178 St,277,Aventura,SCOOT,SCOOT,-8922176.945765521,2991630.0488953316
3641,3641 Homestead Av & Quail Roost Dr,12,Unincorporated Miami-Dade,SCOOT,SCOOT,-8945396.532884588,2949146.194446113
3643,3643 Caribbean Blvd & SW 117 Av E,173,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8947915.628395934,2947257.96676867
3644,3644 US - 1 NE 183 St,277,Aventura,SCOOT,SCOOT,-8921983.678431582,2992313.8019022
3645,3645 US - 1 & NE 11 Ter,303,Miami,SCOOT,SCOOT,-8926645.211051619,2972513.1961132176
3646,3646 Old Dixie Hwy & SW 296 St,290,Unincorporated Miami-Dade,SCOOT,ATSPM,-8956224.620942261,2936293.216389803
3647,3647 W Dixie Hwy & NE 164 St,247,North Miami Beach,SCOOT,ATSPM,-8922926.575669305,2990063.473280909
3648,3648 Byron Av & 96 St,276,Bal Harbour,Traffic Responsive,SCOOT,-8919519.386618748,2985089.139347745
3649,3649 US - 1 & SW 112 Av,35,Unincorporated Miami-Dade,SCOOT,SCOOT,-8947011.455869474,2946622.3274588585
3650,3650 Ludlam Rd & US - 1,1,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8939076.546905985,2961330.378410327
3651,3651 US - 1 & SW 132 St,0,Pinecrest,SCOOT,SCOOT,-8942597.467740702,2955410.7986077555
3652,3652 US - 1 @ SW 20400 Blk,35,Cutler Bay,SCOOT,SCOOT,-8946828.776132302,2946832.9264470725
3653,3653 Kendall Dr & Ludlam Rd,168,Pinecrest,Fully Actuated,SUNRISE,-8939292.930845384,2960614.0504193367
3654,3654 Ludlam Rd & W 60 St,275,Hialeah,Fully Actuated,SUNRISE,-8939761.967727477,2983858.2905014073
3656,3656 Mitchell Dr & US - 1,0,Palmetto Bay,SCOOT,SCOOT,-8943143.22378946,2954108.32188568
3657,3657 SR- 826 EB & NW 17 Av,195,Miami Gardens,Fully Actuated,SUNRISE,-8930988.964374067,2989997.3415113566
3658,3658 Beacom Blvd & SW 1 St,69,Miami,SCOOT,SCOOT,-8931395.389608562,2970798.1539470763
3659,3659 NE 7 Av & NE 135 St,43,North Miami,SCOOT,SCOOT,-8926132.617079167,2986641.60709928
3662,3662 W 8 Av & W 60 St,97,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8938862.410507105,2983860.8503729315
3663,3663 Kendall Dr & Old Cutler Rd,214,Coral Gables,Traffic Responsive,SUNRISE,-8935607.189259404,2960755.047188031
3664,3664 LeJeune Rd & E 21 St,5,Hialeah,Traffic Responsive,SUNRISE,-8935171.566035667,2979460.0836387672
3665,3665 SW 117 Av & SW 184 St,174,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8947962.791124599,2949325.5461552204
3667,3667 Richmond Dr & SW 112 Av,172,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8947158.639160616,2951205.748632681
3668,3668 Kendall Dr & SR-826 NB,15,Unincorporated Miami-Dade,Traffic Responsive,SCOOT,-8940780.379654974,2960558.007852572
3669,3669 Alhambra Cir S & US - 1,1,Coral Gables,Traffic Responsive,SCOOT,-8936721.053197477,2963458.811104817
3670,3670 I- 95 SB Off & Opa-Locka Blvd,32,North Miami,Traffic Responsive,SCOOT,-8928964.399021398,2986673.219957655
3671,3671 SR-826 & NE 35 Av,80,North Miami Beach,SCOOT,SCOOT,-8920566.626954775,2990270.526279335
3673,3673 NE 6 Av & NE 103 St,90,Miami Shores,Fully Actuated,SUNRISE,-8926221.232959813,2982986.077191417
3680,3680 NW 14 Av & NW 14 St,146,Miami,Traffic Responsive,ATSPM,-8929927.951590639,2972779.871659982
3681,3681 W 14 Ln & W 49 St,53,Hialeah,Fully Actuated,SUNRISE,-8940313.43446611,2982566.707532065
3683,3683 NW 103 St & SR- 826 NB,78,Hialeah,SCOOT,SCOOT,-8941462.704681426,2982572.3711655014
3686,3686 NW 207 St / NW 32 Av / NW 33 Av,131,Miami Gardens,Fully Actuated,SUNRISE,-8933936.821375737,2994656.633147318
3687,3687 NW 22 Av & NW 143 St,42,Opa-Locka,Fully Actuated,SUNRISE,-8931808.969346732,2987294.0949742016
3689,3689 NW 27 Av & NW 110 St,58,Unincorporated Miami-Dade,SCOOT,SCOOT,-8932584.904046189,2983540.6954590506
3690,3690 Collins Av @ 5000 Blk,20,Miami Beach,SCOOT,SCOOT,-8919120.52109087,2977668.818509383
3692,3692 I - 95 NB & Ives Dairy Rd,134,Unincorporated Miami-Dade,SCOOT,SCOOT,-8923913.410710044,2994594.8339124727
3693,3693 I - 95 SB & Ives Dairy Rd,134,Unincorporated Miami-Dade,SCOOT,SCOOT,-8924063.798889326,2994642.5502484515
3694,3694 Coral Way & SW 62 Av,150,Unincorporated Miami-Dade,SCOOT,SUNRISE,-8938449.24487744,2967928.6985572665
3701,3701 SW 127 Av / SW 30 St / SW 31 St,210,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8950087.946995538,2966875.8768620277
3702,3702 Collins Av @ 5225 Blk,20,Miami Beach,SCOOT,SCOOT,-8919152.585556999,2978007.3294641245
3708,3708 W 16 Av / W 74 St / W 76 St,295,Hialeah,Fully Actuated,SUNRISE,-8940722.602612862,2985499.8998755785
3709,3709 SW 107 Av & SW 8 St,0,Unincorporated Miami-Dade,SCOOT,SCOOT,-8946570.23995452,2969546.8911407846
3710,3710 NW 22 Av & NW 60 St,120,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8931486.839683445,2977993.962614923
3712,3712 NE 16 Av & NE 135 St,43,North Miami,SCOOT,SCOOT,-8924128.517814882,2986733.9139666026
3713,3713 SW 77 Av & SW 120 St,167,Pinecrest,Fully Actuated,SUNRISE,-8940994.439243404,2956941.755518258
3714,3714 Ludlam Rd & SW 120 St,168,Pinecrest,Fully Actuated,SUNRISE,-8939190.256426245,2956991.9317160374
3715,3715 Mitchell Dr & Old Cutler Rd,175,Palmetto Bay,Traffic Responsive,SUNRISE,-8939882.34862482,2954214.1473427336
3716,3716 Coral Reef Dr & Old Cutler Rd,175,Palmetto Bay,Traffic Responsive,SUNRISE,-8940199.793963937,2953289.677639197
3717,3717 NE 12 Av & NE 211 St,89,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8925427.893457972,2995348.00953024
3718,3718 Miami Gardens Dr & NW 52 Av,85,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8937365.29359974,2991592.6108494303
3719,3719 Miami Gardens Dr & NW 47 Av,85,Miami Gardens,Fully Actuated,SUNRISE,-8936444.503299695,2991612.990513787
3720,3720 NW 12 Av & NW 95 St,121,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8929582.486022495,2981953.1713698013
3721,3721 Bay Harbor Ter & Kane Conc,207,Bay Harbor Islands,Fully Actuated,ATSPM,-8920171.05091785,2985058.4282354782
