ASSET ID,DESCRIPTION,CONTROL SECTION,MUNICIPALITY,INTERSECTION TYPE,Intersection Type,x,y
4800,4800 SR-826 & NE 28 Av,80,North Miami Beach,SCOOT,SCOOT,-8921606.345432809,2989956.7649645945
4801,4801 SR-826 @ NE 2900 Blk,80,North Miami Beach,SCOOT,SCOOT,-8921240.001894169,2989973.8560666223
4802,4802 SR-826 & NE 34 Av,80,North Miami Beach,SCOOT,SCOOT,-8920731.557912335,2990173.5380146503
4804,4804 US - 1 & SW 73 St,1,South Miami,Traffic Responsive,SCOOT,-8937938.88286078,2962378.2082954445
4805,4805 NW 14 Av & NW 36 St,7,Miami,Fully Actuated,SUNRISE,-8930027.867512794,2975525.6976420125
4806,4806 W 5 Av & W 29 St,239,Hialeah,Fully Actuated,SUNRISE,-8938092.163120432,2980266.6891442086
4807,4807 Coral Reef Dr & SW 122 Av,171,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8949000.547040012,2952960.8634408647
4808,4808 SW 157 Av & SW 312 St,232,Homestead,SCOOT,SUNRISE,-8955004.804226046,2934495.486963476
4809,4809 E 2 Av & E 9 St,112,Hialeah,Fully Actuated,SUNRISE,-8936455.254536115,2978047.7763775014
4811,4811 N Miami Av & N 59 St,129,Miami,Fully Actuated,SUNRISE,-8927414.802766489,2977992.923741143
4813,4813 Broadway & SW 1 Av,211,Miami,Traffic Responsive,ATSPM,-8927276.133190002,2969300.7675802456
4816,4816 SW 102 Av & SW 16 St,149,Unincorporated Miami-Dade,SCOOT,ATSPM,-8945641.228710081,2968688.5271086385
4817,4817 W 8 Av & W 37 St,109,Hialeah,Fully Actuated,SUNRISE,-8938786.677631129,2981165.2285878444
4818,4818 Galloway Rd & NW 8 St,212,Unincorporated Miami-Dade,Traffic Responsive,SUNRISE,-8943039.901490884,2971555.117213093
4819,4819 SW 137 Av & SW 66 St,201,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8951727.787735242,2962611.144745276
4820,4820 Kendall Dr & SW 152 Av,164,Unincorporated Miami-Dade,SCOOT,SCOOT,-8954665.283118712,2960070.316333107
4821,4821 SW 132 Av & SW 112 St,202,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8950913.297530152,2957400.619254954
4822,4822 SW 127 Av & SW 112 St,202,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8950084.10535991,2957536.999570395
4823,4823 Quail Roost Dr & SW 115 Av,174,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8947674.735244246,2948732.8391573005
4824,4824 SW 112 Av & SW 248 St,200,Unincorporated Miami-Dade,Fully Actuated,SUNRISE,-8946978.80697602,2941864.8063080665
