Asset Id,Address,Polygon,Zone,Section,Mode of operation,Controller Type,State/County,systemControl,constructionStatus,municipality,Latitude,Longitude,Ramp_Indicator
2622,Riviera Dr & US - 1,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,Coral Gables,25.723427,-80.26579,0
2623,Granada Blvd & US - 1,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,Coral Gables,25.719387,-80.27088,0
2624,Agusto St & US - 1 & Stanford Dr,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,Coral Gables,25.717075,-80.27376,0
2953,Kendall Dr & US - 1,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,Pinecrest,25.68887,-80.308365,0
2998,Red Rd & US - 1,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,South Miami,25.70751,-80.285515,0
2999,US - 1 & SW 62 Av,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,South Miami,25.70133,-80.293304,0
3002,Sunset Dr & US - 1,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Reconstruction,South Miami,25.704275,-80.28971,0
3003,Sunset Dr & SW 62 Av,77,8,1,Traffic Responsive,D170,County,ATMS,Existing,South Miami,25.704138,-80.2934,0
3303,Red Rd & Sunset Dr,77,8,1,Traffic Responsive,D170,County,ATMS,Existing,South Miami,25.704445,-80.2854,0
3626,US - 1 & SW 80 St,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Reconstruction,Unincorporated Miami-Dade,25.696491,-80.29913,0
3650,Ludlam Rd & US - 1,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,Unincorporated Miami-Dade,25.694809,-80.301094,0
3669,Alhambra Cir S & US - 1,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,Coral Gables,25.712034,-80.27993,0
3735,Mariposa Ct & US - 1,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Reconstruction,Coral Gables,25.715052,-80.276245,0
3740,Sunset Dr & SW 58 Av,77,8,1,Traffic Responsive,D170,County,ATMS,Existing,South Miami,25.704357,-80.28738,0
3790,Ludlam Rd & SW 80 St,77,8,1,Traffic Responsive,D170,County,ATMS,Existing,Unincorporated Miami-Dade,25.696432,-80.301125,0
4195,US - 1 & SW 98 St,77,8,1,SCOOT,2070 LX,State,Centracs,Existing,Pinecrest,25.67948,-80.31705,0
4341,Dadeland Blvd & US - 1,77,8,1,SCOOT,2070 LX,State,Centracs,Existing,Pinecrest,25.684929,-80.312744,0
4481,SR - 878 & US - 1,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,Unincorporated Miami-Dade,25.693298,-80.303,1
4491,US - 1 & SW 58 Av & SW 70 St,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,South Miami,25.706028,-80.28748,0
4498,Levante Av & Red Rd,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,South Miami,25.709446,-80.28558,0
4681,Datran Dr & US - 1,77,8,1,SCOOT,2070 LX,State,Centracs,Existing,Pinecrest,25.683735,-80.31388,0
4683,US - 1 & SW 70 Av,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,Pinecrest,25.690178,-80.30682,0
4706,US - 1 SB @ SW 6800 Blk,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,Pinecrest,25.690937,-80.30586,0
4804,US - 1 & SW 73 St,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,South Miami,25.703289,-80.29087,0
5128,Red Rd & San Remo Av,77,8,1,Traffic Responsive,2070 LX,County,Centracs,Existing,South Miami,25.705935,-80.28545,0
5223,US - 1 @ SW 5700 Blk,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,South Miami,25.70667,-80.28665,0
5402,Red Rd & SW 74 St,77,8,1,Traffic Responsive,D170,County,ATMS,Existing,South Miami,25.702574,-80.28531,0
5490,Red Rd & SW 64 St,77,8,1,Traffic Responsive,D170,County,ATMS,Existing,South Miami,25.711739,-80.28567,0
5661,US - 1 & SW 84 St,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Reconstruction,Unincorporated Miami-Dade,25.69252,-80.30392,0
6506,SW 62 Av & SW 73 St,77,8,1,Traffic Responsive,,County,ATMS,Existing,South Miami,25.703037,-80.29337,0
6900,US - 1 NB @ SW 6800 Blk,77,8,1,Traffic Responsive,2070 LX,State,Centracs,Existing,Pinecrest,25.6911,-80.305664,0
2187,Flagler St E & US - 1 SB,95,3,2,SCOOT,D170,State,ATMS,Existing,Miami,25.774319,-80.187675,0
2211,US - 1 SB & SE 1 St,95,3,2,SCOOT,D170,State,ATMS,Existing,Miami,25.77354,-80.187546,0
2224,US - 1 SB & SE 2 St,95,3,2,SCOOT,D170,State,ATMS,Existing,Miami,25.772766,-80.18745,0
2296,US - 1 SB & NE 1 St,95,3,2,SCOOT,D170E,State,ATMS,Existing,Miami,25.7753,-80.18777,0
2304,US - 1 SB & NE 2 St,95,3,2,SCOOT,,State,ATMS,Existing,Miami,25.776245,-80.18795,0
2308,US - 1 SB & NE 3 St,95,3,2,SCOOT,D170E,State,ATMS,Existing,Miami,25.777193,-80.18828,0
2312,US - 1 SB & NE 4 St,95,3,2,SCOOT,D170E,State,ATMS,Existing,Miami,25.77815,-80.18853,0
3493,US - 1 NE & Chopin Plz,95,3,2,SCOOT,D170,State,ATMS,Existing,Miami,25.772764,-80.18713,0
5268,Port Blvd @ Bayside Exit,95,3,2,SCOOT,D170,County,ATMS,Existing,Miami,25.780067,-80.18774,0
6466,Atlantic Way & S Cruise Blvd,95,3,2,Fully Actuated,D170,County,ATMS,Existing,Miami,25.775501,-80.17203,0
6471,Port Blvd & Eastern Port Blvd,95,3,2,Fully Actuated,D170,County,ATMS,Existing,Miami,25.77047,-80.16236,0
6893,Europe Way & S Cruise Blvd,95,3,2,Fully Actuated,D170,County,ATMS,Existing,Miami,25.774506,-80.170006,0
2390,US - 1 & NE 19 St,113,2,3,SCOOT,2070 LX,State,Centracs,Existing,Miami,25.794834,-80.18901,0
2417,US - 1 & NE 29 St,113,2,3,SCOOT,2070 LX,State,Centracs,Existing,Miami,25.804264,-80.189354,0
2418,NE 2 Av & NE 29 St,113,2,3,SCOOT,D170,County,ATMS,Existing,Miami,25.804213,-80.19105,0
3596,US - 1 & NE 22 St,113,2,3,SCOOT,2070 LX,State,Centracs,Existing,Miami,25.79813,-80.18909,0
3597,US - 1 & NE 26 St,113,2,3,SCOOT,2070 LX,State,Centracs,Existing,Miami,25.801619,-80.18915,0
3598,US - 1 & NE 33 St,113,2,3,SCOOT,2070 LX,State,Centracs,Existing,Miami,25.807783,-80.18947,0
4136,US - 1 & NE 17 Ter,113,2,3,SCOOT,2070 LX,State,Centracs,Existing,Miami,25.792349,-80.188965,0
4288,US - 1 & NE 17 St,113,2,3,SCOOT,2070 LX,State,Centracs,Existing,Miami,25.791365,-80.18901,0
4836,US - 1 & NE 21 St,113,2,3,SCOOT,2070 LX,State,Centracs,Existing,Miami,25.797136,-80.18906,0
2136,Flagler St W & LeJeune Rd,101,5,4,SCOOT,D170,State,ATMS,Reconstruction,Coral Gables,25.77168,-80.26368,0
2152,Flagler St W / W 40 Av / W 40 Ct,101,5,4,SCOOT,D170,State,ATMS,Existing,Coral Gables,25.77171,-80.261795,0
2206,Douglas Rd & Flager St W,101,5,4,SCOOT,D170,State,ATMS,Reconstruction,Miami,25.77182,-80.25542,0
4728,Okeechobee Rd & W 19 St,31,4,62,SCOOT,D170,State,ATMS,Existing,Hialeah,25.838589,-80.3018,0
5492,Milam Dairy Rd & South River Dr,31,4,62,SCOOT,D170,County,ATMS,Existing,Medley,25.847136,-80.3143,0
3617,Flagler St W & W 43 Av,101,5,4,SCOOT,2070 LX,State,Centracs,Existing,Miami,25.771624,-80.265686,0
6902,South River Dr & NW 74 Av,31,4,62,SCOOT,D170,County,ATMS,Existing,Medley,25.850506,-80.31881,0
2575,Coral Way / Galiano St / Ponce De Leon Blvd,87,8,63,SCOOT,D170,County,ATMS,Existing,Coral Gables,25.749613,-80.257645,0
6688,Flagler St W / W 38 Av / W 38 Ct,101,5,4,SCOOT,D170,County,ATMS,Existing,Miami,25.771791,-80.2577,0
2576,Coral Way / Ponce De Leon Blvd / Salzedo St,87,8,63,SCOOT,D170,County,ATMS,Existing,Coral Gables,25.749502,-80.259674,0
2581,Andaluisa Av & Douglas Rd & SW 22 Ter,87,8,63,SCOOT,D170,County,ATMS,Existing,Coral Gables,25.748905,-80.25457,0
2901,South Dr & NW 36 St,37,5,6,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.807913,-80.279724,0
2582,Andaluisa Av & Galiano St,87,8,63,SCOOT,D170,County,ATMS,Existing,Coral Gables,25.748772,-80.25665,0
2902,Curtiss Pkwy & NW 36 St,37,5,6,SCOOT,D170E,State,ATMS,Existing,Unincorporated Miami-Dade,25.8076,-80.28916,0
2583,Andaluisa Av & Salzedo St,87,8,63,SCOOT,D170,County,ATMS,Existing,Coral Gables,25.748552,-80.2607,0
3142,Palmetto Dr & NW 36 St,37,5,6,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.807873,-80.28092,0
2585,Alhambra Cir & Ponce De Leon Blvd,87,8,63,SCOOT,D170,County,ATMS,Existing,Coral Gables,25.752142,-80.25873,0
3143,East Dr & NW 36 St,37,5,6,SCOOT,D170,State,ATMS,Existing,Unincorporated Miami-Dade,25.808163,-80.2727,0
