asset,polygon,perm_phs,veh_phs,ped_phs,excls_ped_phs,excl_phs,exc_veh_phs_id,excl_ped_phs_in_ovrlp,excl_veh_phs_in_ovrlp,midblock,excl_ped,ped_variant,x_ped_type,ped_note,lpi_adw,lpi_adw_cmmnt,apv,apv_comment,bos,awb,awb_comment,preempt,loc_preempt,rmt_preempt,prempt_comment,num_ovrlp,ovrlp,mltpl_ovrlp,lead_lag,ppin,ppin_id
6799,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6801,Other,"[1, 2, 4, 6, 8]","[1, 2, 4, 6, 8]",[4],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6802,Other,"[2, 4, 5, 6]","[2, 4, 5, 6]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6808,Other,"[1, 2, 4, 6, 8]","[1, 2, 4, 6, 8]","[2, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6809,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]",[8],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6811,Other,"[2, 4, 5, 6]","[2, 4, 5, 6]",[4],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6820,Other,"[2, 6, 8]","[2, 6]",[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6821,Other,"[2, 4, 5, 6]","[2, 4, 5, 6]",[4],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6847,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]",[4],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6848,Other,"[2, 4, 5, 6]","[2, 4, 5, 6]","[4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6849,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6850,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6851,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]",[8],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,1,Yes,No,No,No,[]
6858,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6861,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6863,Other,"[2, 4, 5, 6]","[2, 4, 5, 6]",[6],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6864,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]",[8],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
