asset,polygon,perm_phs,veh_phs,ped_phs,excls_ped_phs,excl_phs,exc_veh_phs_id,excl_ped_phs_in_ovrlp,excl_veh_phs_in_ovrlp,midblock,excl_ped,ped_variant,x_ped_type,ped_note,lpi_adw,lpi_adw_cmmnt,apv,apv_comment,bos,awb,awb_comment,preempt,loc_preempt,rmt_preempt,prempt_comment,num_ovrlp,ovrlp,mltpl_ovrlp,lead_lag,ppin,ppin_id
6114,Other,"[1, 2, 3, 4, 5, 6, 7, 8]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 4]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6115,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]",[8],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6118,Other,"[2, 3, 4, 6]","[2, 3, 4, 6]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6119,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]","[2, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6120,Other,"[1, 2, 4, 5, 6, 8]","[1, 2, 4, 5, 6, 8]","[2, 4, 6, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6121,Other,"[2, 4, 6]","[2, 4, 6]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6126,Other,"[2, 4, 6, 8]","[2, 4, 6, 8]","[4, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6127,Other,"[2, 4, 5, 6]","[2, 4, 5, 6]",[4],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6128,Other,"[1, 2, 3, 4, 6]","[1, 2, 3, 4, 6]","[2, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6129,Other,"[2, 5, 6, 7, 8]","[2, 5, 6, 7, 8]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,Yes,No,[]
6130,Other,"[2, 4]","[2, 4]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,0,No,No,No,No,[]
6131,Other,"[1, 2, 6, 8]","[1, 2, 6, 8]",[],[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,Yes,Yes,No,there is RR local preemption.,0,No,No,No,No,[]
6141,Other,"[6, 8]",[6],[8],[8],No,[],N/A,N/A,No,No,"[3, 4]",N/A,there is ped type 3. there is ped type 4. ,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6142,Other,"[1, 2, 5, 6, 7, 8]","[1, 2, 5, 6, 7, 8]","[2, 6, 7]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6143,10,"[2, 4, 6, 8]","[2, 4, 6, 8]","[4, 8]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,0,No,No,No,No,[]
6144,Other,"[2, 3, 4, 8]","[2, 3, 4, 8]",[3],[],Yes,"[8, 3, 4]",N/A,No,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,1,Yes,No,No,Yes,"[242, 246]"
6149,Other,"[2, 3, 4, 5, 6, 7, 8]","[2, 3, 4, 5, 6, 7, 8]","[2, 4, 6]",[],No,[],N/A,N/A,No,No,[],N/A,,No,,No,,No,No,,No,No,No,,1,Yes,No,No,No,[]
